param_id,Death_Rate,value,Region,diseases,years
API,0.62,0.021,NorthE_Metro,Asthma,07-11
SO2,0.72,0.087,Gippsland,Asthma,07-11
PM10,0.72,0.72,Gippsland,Asthma,07-11
O3,0.72,0.624,Gippsland,Asthma,07-11
NO2,0.72,0.289,Gippsland,Asthma,07-11
API,0.72,0.026,Gippsland,Asthma,07-11
SO2,0.87,0.034,Geelong,Asthma,07-11
PM10,0.87,0.71,Geelong,Asthma,07-11
O3,0.87,0.665,Geelong,Asthma,07-11
NO2,0.87,0.229,Geelong,Asthma,07-11
CO,0.87,0.006999999999999999,Geelong,Asthma,07-11
API,0.87,0.019,Geelong,Asthma,07-11
SO2,0.53,-0.021,East_Metro,Asthma,07-11
PM10,0.53,0.6509999999999999,East_Metro,Asthma,07-11
O3,0.53,0.667,East_Metro,Asthma,07-11
NO2,0.53,0.361,East_Metro,Asthma,07-11
CO,0.53,0.011,East_Metro,Asthma,07-11
API,0.53,0.023,East_Metro,Asthma,07-11
PM10,1.67,0.63,South_Metro,Heart-Failure,07-11
O3,1.67,0.6940000000000001,South_Metro,Heart-Failure,07-11
NO2,1.67,0.34700000000000003,South_Metro,Heart-Failure,07-11
API,1.67,0.022,South_Metro,Heart-Failure,07-11
SO2,1.64,0.036000000000000004,NorthE_Metro,Heart-Failure,07-11
PPM2.5,1.64,0.265,NorthE_Metro,Heart-Failure,07-11
PM10,1.64,0.667,NorthE_Metro,Heart-Failure,07-11
O3,1.64,0.604,NorthE_Metro,Heart-Failure,07-11
NO2,1.64,0.344,NorthE_Metro,Heart-Failure,07-11
CO,1.64,0.009000000000000001,NorthE_Metro,Heart-Failure,07-11
API,1.64,0.021,NorthE_Metro,Heart-Failure,07-11
SO2,2.53,0.087,Gippsland,Heart-Failure,07-11
PM10,2.53,0.72,Gippsland,Heart-Failure,07-11
O3,2.53,0.624,Gippsland,Heart-Failure,07-11
NO2,2.53,0.289,Gippsland,Heart-Failure,07-11
API,2.53,0.026,Gippsland,Heart-Failure,07-11
SO2,0.97,0.034,Geelong,Heart-Failure,07-11
PM10,0.97,0.71,Geelong,Heart-Failure,07-11
O3,0.97,0.665,Geelong,Heart-Failure,07-11
NO2,0.97,0.229,Geelong,Heart-Failure,07-11
CO,0.97,0.006999999999999999,Geelong,Heart-Failure,07-11
API,0.97,0.019,Geelong,Heart-Failure,07-11
SO2,1.09,-0.021,East_Metro,Heart-Failure,07-11
PM10,1.09,0.6509999999999999,East_Metro,Heart-Failure,07-11
O3,1.09,0.667,East_Metro,Heart-Failure,07-11
NO2,1.09,0.361,East_Metro,Heart-Failure,07-11
CO,1.09,0.011,East_Metro,Heart-Failure,07-11
API,1.09,0.023,East_Metro,Heart-Failure,07-11
PM10,6.37,0.63,South_Metro,COPD,07-11
O3,6.37,0.6940000000000001,South_Metro,COPD,07-11
NO2,6.37,0.34700000000000003,South_Metro,COPD,07-11
API,6.37,0.022,South_Metro,COPD,07-11
SO2,6.93,0.036000000000000004,NorthE_Metro,COPD,07-11
PPM2.5,6.93,0.265,NorthE_Metro,COPD,07-11
PM10,6.93,0.667,NorthE_Metro,COPD,07-11
O3,6.93,0.604,NorthE_Metro,COPD,07-11
NO2,6.93,0.344,NorthE_Metro,COPD,07-11
CO,6.93,0.009000000000000001,NorthE_Metro,COPD,07-11
API,6.93,0.021,NorthE_Metro,COPD,07-11
SO2,10.58,0.087,Gippsland,COPD,07-11
