sp_name,year,month,param_id,value
Dandenong,2016,5,PM10,10711.800002153
Dandenong,2016,6,API,121.95999971300004
Dandenong,2016,6,NO2,9064.0
Dandenong,2016,6,PM10,8184.000002572
Dandenong,2016,7,NO2,8193.0
Dandenong,2016,7,PM10,7986.900000165002
Dandenong,2016,8,NO2,10249.0
Dandenong,2016,8,PM10,7780.2000084420015
Dandenong,2016,9,API,191.84000003099982
Dandenong,2016,9,NO2,6875.0
Dandenong,2016,9,PM10,6883.500006657005
Dandenong,2016,10,API,262.3700003519998
Dandenong,2016,10,NO2,4555.0
Dandenong,2016,11,API,310.2799998110001
Dandenong,2016,11,NO2,4556.0
Dandenong,2016,11,O3,314.0
Dandenong,2016,12,API,351.7300000010005
Dandenong,2016,12,NO2,5152.0
Dandenong,2016,12,O3,12459.0
Footscray,2016,1,BPM2.5,5842.799993383
Footscray,2016,1,CO,60.2000008609998
Footscray,2016,1,NO2,5420.0
Footscray,2016,1,O3,11054.0
Footscray,2016,1,PM10,11411.300021513001
Footscray,2016,1,PPM2.5,82.4
Footscray,2016,2,BPM2.5,4951.2000025559955
Footscray,2016,2,CO,50.000000542999906
Footscray,2016,2,NO2,5357.0
Footscray,2016,2,O3,9294.0
Footscray,2016,2,PM10,11747.299988929995
Footscray,2016,2,PPM2.5,81.8
Footscray,2016,3,BPM2.5,5026.400005458995
Footscray,2016,3,CO,90.9000013369994
Footscray,2016,3,NO2,6970.0
Footscray,2016,3,O3,11245.0
Footscray,2016,3,PM10,12583.00000030701
Footscray,2016,3,PPM2.5,102.9
Footscray,2016,4,BPM2.5,4927.000011572999
Footscray,2016,4,CO,105.5000018119994
Footscray,2016,4,NO2,8668.0
Footscray,2016,4,O3,9108.0
Footscray,2016,4,PM10,13464.400004203995
Footscray,2016,4,PPM2.5,65.7
Footscray,2016,5,BPM2.5,5351.899998167995
Footscray,2016,5,CO,88.00000099699989
Footscray,2016,5,NO2,7688.0
Footscray,2016,5,O3,10198.0
Footscray,2016,5,PM10,9999.199979411002
